name,product_title,price,product_url,image_url,image_file
creamer_pitcher,Gurygo 2 Pack 4 Oz Classic White Ceramic Small Creamer Pitcher with Handle,NA,https://www.amazon.com/Gurygo-Creamer-Pitcher-Porcelain-Microwave/dp/B09WCSLSXB,https://m.media-amazon.com/images/I/51DIvon-ziL._AC_SL1500_.jpg,images/creamer_pitcher.jpg
tea_infuser,"Reinmoson Tea Strainers for Loose Tea, Extra Fine Mesh Tea Infuser, 304 Stainless Steel",9.99,https://www.amazon.com/Reinmoson-Strainers-Infuser-Stainless-Threaded/dp/B0B5ZTZL6G,https://m.media-amazon.com/images/I/71MoZmjDu1L._AC_SL1500_.jpg,images/tea_infuser.jpg
condiment_squeeze_bottle,"BRIGHTFROM Condiment Squeeze Bottles, 16 OZ Empty Squirt Bottle, Leak Proof, 2 PACK",6.74,https://www.amazon.com/BRIGHTFROM-Condiment-Squeeze-Bottles-Squirt/dp/B09FVCRK8V,https://m.media-amazon.com/images/I/61xNiCbGh5L._AC_SL1500_.jpg,images/condiment_squeeze_bottle.jpg
shaker_bottle,"BlenderBottle Classic V2 Shaker Bottle, 28-Ounce, Black",10.99,https://www.amazon.com/BlenderBottle-C03596-Classic-Bottle-28-Ounce/dp/B07TL6PNLD,https://m.media-amazon.com/images/I/413Q3LhEBFL._AC_SL1000_.jpg,images/shaker_bottle.jpg
napkin_ring,"Napkin Rings 12-Piece Set, 100% Metal, Rust-Resistant Tabletop Decor, Silver",NA,https://www.amazon.com/Alpha-Living-Home-12-Piece-Silver/dp/B07L8GX283,https://m.media-amazon.com/images/I/911O4354KpL._AC_SL1500_.jpg,images/napkin_ring.jpg
teacup,"SYJAN HOME Ceramic Teacups Set of 4, No Handle, 3 oz Japanese Teacup Set",NA,https://www.amazon.com/SYJAN-HOME-Ceramic-teacups-Japanese/dp/B0B5K9RK23,https://m.media-amazon.com/images/I/616Gg079mvL._AC_SL1500_.jpg,images/teacup.jpg
saucer,Ceramic 2pcs 4 Inch Plain White Saucer / Small Plate,NA,https://www.amazon.com/Ceramic-cutlery-Tableware-Saucer-Dinner/dp/B0CLY5XT2B,https://m.media-amazon.com/images/I/41d+Jh9hcIL._AC_SL1280_.jpg,images/saucer.jpg
espresso_cup,"Ceramic Espresso Cups Set of 4, 4.5oz - Demitasse Cups",NA,https://www.amazon.com/Ceramic-Espresso-Cups-Set-Accessories/dp/B0BNVN8HLG,https://m.media-amazon.com/images/I/814+ZKD69bL._AC_SL1500_.jpg,images/espresso_cup.jpg
shot_glass,"True Classic Shot Glass, Set of 6, 1.5 oz",9.99,https://www.amazon.com/True-1-5-Shot-Glasses-Classic/dp/B08NTWZHKZ,https://m.media-amazon.com/images/I/61G+fDBmXbL._AC_SL1500_.jpg,images/shot_glass.jpg
beer_mug,"Libbey Heidelberg Glass Beer Mug Set, 16 oz with Handle",34.99,https://www.amazon.com/Libbey-Heidelberg-Glass-Beer-16-ounce/dp/B00005MG3O,https://m.media-amazon.com/images/I/71IVP5FzAzL._AC_SL1500_.jpg,images/beer_mug.jpg
